,x
1222,鑫茂科技 000836
1223,秦川发展 000837
1224,国兴地产 000838
1225,中信国安 000839
1226,承德露露 000848
1227,华茂股份 000850
1228,高鸿股份 000851
1229,江钻股份 000852
1230,ST唐陶 000856
1231,五 粮 液 000858
1232,国风塑业 000859
1233,顺鑫农业 000860
1234,海印股份 000861
1235,银星能源 000862
1236,安凯客车 000868
1237,张  裕Ａ 000869
1238,吉电股份 000875
1239,新 希 望 000876
1240,天山股份 000877
1241,云南铜业 000878
1242,潍柴重机 000880
1243,大连国际 000881
1244,华联股份 000882
1245,湖北能源 000883
1246,同力水泥 000885
1247,海南高速 000886
1248,中鼎股份 000887
