"","x"
"959","金 融 街 000402"
"960","华意压缩 000404"
"961","胜利股份 000407"
"962","*ST金谷 000408"
"963","ST泰复 000409"
"964","沈阳机床 000410"
"965","英特集团 000411"
"966","宝  石Ａ 000413"
"967","*ST汇通 000415"
"968","民生投资 000416"
"969","合肥百货 000417"
"970","小天鹅Ａ 000418"
"971","通程控股 000419"
"972","吉林化纤 000420"
"973","南京中北 000421"
"974","湖北宜化 000422"
"975","东阿阿胶 000423"
"976","徐工机械 000425"
"977","富龙热电 000426"
"978","华天酒店 000428"
"979","粤高速Ａ 000429"
"980","*ST张股 000430"
"981","晨鸣纸业 000488"
"982","鄂武商Ａ 000501"
"983","绿景地产 000502"
"984","海虹控股 000503"
"985","*ST传媒 000504"
"986","ST珠江 000505"
"987","中润投资 000506"
"988","珠海港 000507"
"989","S*ST华塑 000509"
"990","金路集团 000510"
"991","银基发展 000511"
"992","丽珠集团 000513"
"993","渝 开 发 000514"
"994","开元控股 000516"
"995","荣安地产 000517"
"996","四环生物 000518"
"997","江南红箭 000519"
"998","长航凤凰 000520"
"999","美菱电器 000521"
"1000","白云山Ａ 000522"
"1001","广州浪奇 000523"
"1002","东方宾馆 000524"
"1003","红 太 阳 000525"
"1004","旭飞投资 000526"
"1005","美的电器 000527"
"1006","柳    工 000528"
"1007","广弘控股 000529"
"1008","大冷股份 000530"
"1009","穗恒运Ａ 000531"
"1010","力合股份 000532"
"1011","万 家 乐 000533"
"1012","万泽股份 000534"
"1013","华映科技 000536"
"1014","广宇发展 000537"
"1015","云南白药 000538"
"1016","粤电力Ａ 000539"
"1017","中天城投 000540"
"1018","佛山照明 000541"
"1019","皖能电力 000543"
"1020","中原环保 000544"
"1021","吉林制药 000545"
"1022","光华控股 000546"
"1023","闽福发Ａ 000547"
"1024","湖南投资 000548"
"1025","江铃汽车 000550"
"1026","创元科技 000551"
"1027","靖远煤电 000552"
"1028","沙隆达Ａ 000553"
"1029","泰山石油 000554"
"1030","ST 太 光 000555"
"1031","*ST广夏 000557"
"1032","莱茵置业 000558"
"1033","万向钱潮 000559"
"1034","昆百大Ａ 000560"
"1035","烽火电子 000561"
"1036","宏源证券 000562"
"1037","陕国投Ａ 000563"
"1038","西安民生 000564"
"1039","渝三峡Ａ 000565"
"1040","海南海药 000566"
"1041","海德股份 000567"
"1042","泸州老窖 000568"
"1043","苏常柴Ａ 000570"
"1044","新大洲Ａ 000571"
"1045","海马股份 000572"
"1046","粤宏远Ａ 000573"
"1047","ST甘化 000576"
"1048","盐湖集团 000578"
"1049","威孚高科 000581"
"1050","北 海 港 000582"
"1051","友利控股 000584"
"1052","东北电气 000585"
"1053","ST汇源 000586"
"1054","S*ST光明 000587"
"1055","黔轮胎Ａ 000589"
"1056","紫光古汉 000590"
"1057","桐 君 阁 000591"
"1058","中福实业 000592"
"1059","大通燃气 000593"
"1060","国恒铁路 000594"
"1061","西北轴承 000595"
"1062","古井贡酒 000596"
"1063","东北制药 000597"
"1064","兴蓉投资 000598"
"1065","青岛双星 000599"
"1066","建投能源 000600"
"1067","韶能股份 000601"
"1068","*ST金马 000602"
"1069","*ST 威达 000603"
"1070","ST 四 环 000605"
"1071","青海明胶 000606"
